system   I             system.c:245  al_install_system                [   0.00052] Allegro version: 5.1.12 (WIP)
display  D   display_settings.c:388  _al_score_display_settings       [   0.04093] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04095] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04097] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04100] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04103] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04105] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04107] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04108] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04110] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04112] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04114] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04115] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04117] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04119] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04121] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04123] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04125] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04126] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04128] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04130] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04132] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04133] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04135] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04137] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04139] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04140] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04143] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04145] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04147] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04148] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04150] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04152] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04154] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04155] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04157] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04159] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04161] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04163] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04165] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04166] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04168] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04170] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04172] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04173] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04175] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04177] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04179] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04180] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04182] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04184] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04186] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04188] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04190] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04191] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04193] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04195] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04197] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04200] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04202] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04204] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04206] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04208] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04210] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04211] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04213] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04215] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04217] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04219] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04221] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04222] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04224] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04226] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04228] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1670 d3d_create_display_internals     [   0.04233] Trying format 0.
d3d      I         d3d_disp.cpp:1346 d3d_display_thread_proc          [   0.04259] Chose a display format: 23
d3d      I         d3d_disp.cpp:1415 d3d_display_thread_proc          [   0.04263] Normal window.
d3d      I         d3d_disp.cpp:779  d3d_create_device                [   0.09712] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:837  d3d_create_device                [   0.14866] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:845  d3d_create_device                [   0.14871] Success
d3d      D         d3d_disp.cpp:1693 d3d_create_display_internals     [   0.14874] Resumed after wait.
d3d      I         d3d_disp.cpp:1726 d3d_create_display_internals     [   0.14880] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1757 d3d_create_display_internals     [   0.14886] Returning d3d_display: 006B8248
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.14888] al_display=006B8248
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.14890] al_display->vt=005F0F10
system   D            wsystem.c:674  maybe_parent_dir                 [   0.14912] Also searching C:\Users\gsvil\Documents\ProgramacionDeGraficos1TP3\TP3\binaries\Win32\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.14932] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:635  load_library_at_path             [   0.14934] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:638  load_library_at_path             [   0.14991] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.14996] Module "d3dx9_43.dll" loaded.
font     D                ttf.c:847  al_load_ttf_font_stretch_f       [   0.15274] Font assets/arial_narrow_7.ttf loaded with pixel size 0 x 72.
font     D                ttf.c:849  al_load_ttf_font_stretch_f       [   0.15277]     ascent=50.0, descent=-14.0, height=72.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.15280] added dtor for object 0499EDA0, func 0F5C1055
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15308] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15311] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15312] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15314] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15315] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15317] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15319] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15320] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15323] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.15324] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.15326] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.15328] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.15330] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.15362] added dtor for object 04AB5C20, func 0FD021E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.15380] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.15382] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15474] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15477] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15479] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15480] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15482] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15483] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15485] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15486] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15488] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.15489] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.15491] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.15493] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.15496] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.15517] added dtor for object 04AB4028, func 0FD021E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.15524] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.15528] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15576] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15579] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15581] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15583] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15584] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15586] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15587] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15589] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.15590] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.15592] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.15595] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.15597] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.15598] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.15619] added dtor for object 04AB42B8, func 0FD021E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.15627] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.15629] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:184  _al_register_destructor          [   0.15685] added dtor for object 006B47F8, func 0FD0233D
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.15832] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.15835] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.15838] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.15840] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.15850] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.15852] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19114] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19117] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19119] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19121] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19122] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19124] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19125] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19127] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.19128] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.19130] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.19131] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.19133] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.19135] Chose bitmap format 9
font     D                ttf.c:225  alloc_glyph_region               [   0.19330] Glyph 47: 30x51 (32x52)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.19735] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.19739] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.20038] Glyph 81: 20x37 (20x40)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.20194] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.20198] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.20435] Glyph 68: 31x37 (32x40)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.20526] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.20531] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.20814] Glyph 82: 31x37 (32x40)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.20867] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.20870] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:415  cache_glyph                      [   0.21102] Glyph 311 has zero size.
font     D                ttf.c:225  alloc_glyph_region               [   0.21110] Glyph 50: 31x51 (32x52)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.21157] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.21160] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.21407] Glyph 79: 30x51 (32x52)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.21452] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.21455] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.21663] Glyph 64: 30x37 (32x40)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.21711] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.21714] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.21923] Glyph 66: 30x37 (32x40)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.21966] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.21969] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.22195] Glyph 83: 24x51 (24x52)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.22269] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.22274] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.22735] Glyph 78: 30x37 (32x40)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.22783] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.22786] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:225  alloc_glyph_region               [   0.23034] Glyph 312: 13x51 (16x52)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.23078] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.23082] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.23638] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.23643] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.20419] removed dtor for object 04AB4028
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.20425] removed dtor for object 04AB5C20
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.20428] removed dtor for object 04AB42B8
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.21008] removed dtor for object 005ECD88
d3d      I         d3d_disp.cpp:899  d3d_destroy_display              [   3.21013] destroying display 006B8248 (current 00000000)
bitmap   D        bitmap_type.c:300  _al_convert_to_memory_bitmap     [   3.21396] converting display bitmap 04ABBE38 to memory bitmap
dtor     D               dtor.c:184  _al_register_destructor          [   3.21552] added dtor for object 04AC0A18, func 0FD021E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   3.21558] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   3.21560] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.21878] removed dtor for object 04AC0A18
d3d      D         d3d_disp.cpp:883  d3d_destroy_display_internals    [   3.22024] waiting for display 006B8248's thread to end
d3d      I         d3d_disp.cpp:1551 d3d_display_thread_proc          [   3.24210] d3d display thread exits
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.24281] removed dtor for object 006B47F8
dtor     D               dtor.c:114  _al_run_destructors              [   3.24286] calling dtor for object 0499EDA0, func 0F5C1055
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.24290] removed dtor for object 0499EDA0
